359, 205, 0.2895, 0.1652,3.1695,1.8098 
360, 206, 0.2901, 0.1659,3.1771,1.8168 
361, 207, 0.2908, 0.1665,3.1847,1.8238 
362, 208, 0.2915, 0.1672,3.1924,1.8308 
363, 208, 0.2922, 0.1678,3.2001,1.8377 
364, 209, 0.2930, 0.1684,3.2078,1.8447 
364, 210, 0.2937, 0.1691,3.2156,1.8517 
365, 211, 0.2944, 0.1697,3.2234,1.8588 
366, 212, 0.2951, 0.1704,3.2313,1.8659 
367, 212, 0.2958, 0.1711,3.2393,1.8732 
368, 213, 0.2966, 0.1717,3.2473,1.8805 
369, 214, 0.2973, 0.1724,3.2553,1.8879 
370, 215, 0.2980, 0.1731,3.2630,1.8956 
371, 216, 0.2987, 0.1738,3.2707,1.9034 
372, 217, 0.2994, 0.1745,3.2785,1.9113 
373, 218, 0.3001, 0.1753,3.2864,1.9193 
373, 218, 0.3009, 0.1760,3.2944,1.9274 
374, 219, 0.3016, 0.1768,3.3024,1.9356 
375, 220, 0.3024, 0.1775,3.3105,1.9439 
376, 221, 0.3031, 0.1783,3.3188,1.9523 
377, 222, 0.3039, 0.1791,3.3271,1.9607 
378, 223, 0.3046, 0.1798,3.3355,1.9692 
379, 224, 0.3054, 0.1806,3.3440,1.9777 
380, 225, 0.3062, 0.1814,3.3525,1.9863 
381, 226, 0.3070, 0.1822,3.3612,1.9948 
382, 227, 0.3078, 0.1830,3.3699,2.0033 
383, 228, 0.3086, 0.1837,3.3787,2.0118 
384, 229, 0.3094, 0.1845,3.3876,2.0202 
385, 230, 0.3102, 0.1852,3.3961,2.0280 
386, 231, 0.3110, 0.1859,3.4047,2.0358 
387, 232, 0.3118, 0.1866,3.4133,2.0435 
388, 233, 0.3125, 0.1873,3.4220,2.0512 
389, 233, 0.3133, 0.1880,3.4307,2.0588 
390, 234, 0.3141, 0.1887,3.4395,2.0664 
391, 235, 0.3149, 0.1894,3.4483,2.0740 
392, 236, 0.3158, 0.1901,3.4572,2.0816 
393, 237, 0.3166, 0.1908,3.4661,2.0893 
394, 238, 0.3174, 0.1915,3.4750,2.0969 
395, 239, 0.3182, 0.1922,3.4839,2.1046 
396, 239, 0.3190, 0.1929,3.4929,2.1123 
397, 240, 0.3198, 0.1936,3.5019,2.1201 
398, 241, 0.3207, 0.1944,3.5108,2.1279 
399, 242, 0.3215, 0.1951,3.5198,2.1358 
400, 243, 0.3223, 0.1958,3.5287,2.1437 
401, 244, 0.3231, 0.1965,3.5372,2.1517 
402, 245, 0.3238, 0.1973,3.5456,2.1598 
403, 246, 0.3246, 0.1980,3.5540,2.1679 
404, 247, 0.3254, 0.1988,3.5624,2.1761 
405, 248, 0.3262, 0.1995,3.5708,2.1844 
406, 249, 0.3269, 0.2003,3.5791,2.1927 
407, 249, 0.3277, 0.2010,3.5874,2.2010 
408, 250, 0.3284, 0.2018,3.5957,2.2093 
409, 251, 0.3292, 0.2026,3.6040,2.2177 
409, 252, 0.3299, 0.2033,3.6122,2.2261 
410, 253, 0.3307, 0.2041,3.6204,2.2345 
411, 254, 0.3314, 0.2049,3.6286,2.2428 
412, 255, 0.3322, 0.2056,3.6368,2.2512 
413, 256, 0.3329, 0.2064,3.6449,2.2595 
414, 257, 0.3337, 0.2072,3.6530,2.2678 
415, 258, 0.3344, 0.2079,3.6611,2.2760 
416, 259, 0.3351, 0.2086,3.6687,2.2837 
417, 260, 0.3358, 0.2093,3.6763,2.2913 
418, 261, 0.3365, 0.2100,3.6839,2.2989 
418, 261, 0.3372, 0.2107,3.6914,2.3065 
419, 262, 0.3378, 0.2113,3.6990,2.3140 
420, 263, 0.3385, 0.2120,3.7066,2.3215 
421, 264, 0.3392, 0.2127,3.7142,2.3291 
422, 265, 0.3399, 0.2134,3.7218,2.3367 
423, 266, 0.3406, 0.2141,3.7295,2.3443 
424, 267, 0.3413, 0.2148,3.7372,2.3520 
425, 267, 0.3420, 0.2155,3.7450,2.3597 
425, 268, 0.3427, 0.2162,3.7528,2.3675 
426, 269, 0.3434, 0.2169,3.7607,2.3754 
427, 270, 0.3441, 0.2176,3.7686,2.3833 
428, 271, 0.3449, 0.2184,3.7766,2.3914 
429, 272, 0.3456, 0.2191,3.7846,2.3995 
430, 273, 0.3463, 0.2198,3.7922,2.4076 
431, 274, 0.3470, 0.2206,3.7999,2.4158 
432, 275, 0.3477, 0.2213,3.8077,2.4242 
433, 276, 0.3484, 0.2221,3.8155,2.4326 
433, 277, 0.3491, 0.2229,3.8234,2.4411 
434, 278, 0.3499, 0.2237,3.8314,2.4498 
435, 279, 0.3506, 0.2245,3.8396,2.4586 
436, 280, 0.3514, 0.2253,3.8478,2.4674 
437, 281, 0.3521, 0.2261,3.8561,2.4764 
438, 282, 0.3529, 0.2269,3.8645,2.4854 
439, 283, 0.3537, 0.2278,3.8730,2.4945 
440, 284, 0.3545, 0.2286,3.8816,2.5037 
441, 285, 0.3553, 0.2295,3.8903,2.5129 
442, 286, 0.3561, 0.2303,3.8991,2.5221 
443, 287, 0.3569, 0.2311,3.9080,2.5314 
444, 288, 0.3577, 0.2320,3.9169,2.5407 
445, 289, 0.3585, 0.2328,3.9254,2.5496 
446, 290, 0.3593, 0.2336,3.9340,2.5585 
447, 291, 0.3601, 0.2344,3.9427,2.5674 
448, 292, 0.3609, 0.2353,3.9514,2.5763 
449, 293, 0.3617, 0.2361,3.9601,2.5852 
450, 294, 0.3625, 0.2369,3.9689,2.5941 
451, 295, 0.3633, 0.2377,3.9778,2.6030 
452, 296, 0.3641, 0.2385,3.9867,2.6118 
453, 297, 0.3649, 0.2393,3.9956,2.6207 
454, 298, 0.3657, 0.2401,4.0045,2.6295 
455, 299, 0.3665, 0.2409,4.0134,2.6383 
456, 300, 0.3673, 0.2417,4.0224,2.6470 
457, 301, 0.3682, 0.2425,4.0314,2.6558 
458, 302, 0.3690, 0.2433,4.0403,2.6645 
459, 303, 0.3698, 0.2441,4.0492,2.6732 
460, 304, 0.3706, 0.2449,4.0581,2.6818 
461, 305, 0.3714, 0.2457,4.0664,2.6901 
462, 306, 0.3721, 0.2464,4.0747,2.6983 
463, 307, 0.3729, 0.2472,4.0829,2.7065 
464, 308, 0.3736, 0.2479,4.0912,2.7147 
